,player,total_runs,out,numberofballs,average,strikerate,wickets
186,RE van der Merwe,159,11,141,14.4545454545455,112.765957446809,21
187,R McLaren,159,8,169,19.875,94.0828402366864,12
188,R Dhawan,153,7,135,21.8571428571429,113.333333333333,18
189,A Hales,150,6,118,25,127.118644067797,0
190,SM Pollock,147,8,111,18.375,132.432432432432,11
191,S Vidyut,145,8,108,18.125,134.259259259259,1
192,K Gowtham,145,12,83,12.0833333333333,174.698795180723,11
193,Mohammad Nabi,142,8,91,17.75,156.043956043956,11
194,N Saini,142,12,144,11.8333333333333,98.6111111111111,11
195,Sachin Baby,137,9,101,15.2222222222222,135.643564356436,2
196,S Anirudha,136,8,110,17,123.636363636364,0
197,SB Styris,131,7,133,18.7142857142857,98.4962406015038,8
198,W Jaffer,130,7,121,18.5714285714286,107.438016528926,0
199,S Gopal,129,8,118,16.125,109.322033898305,34
200,Kamran Akmal,128,4,78,32,164.102564102564,0
201,D Wiese,127,5,90,25.4,141.111111111111,14
202,P Dogra,127,12,138,10.5833333333333,92.0289855072464,0
203,UT Khawaja,127,5,100,25.4,127,0
204,M Morkel,126,11,90,11.4545454545455,140,75
205,MC Juneja,125,7,127,17.8571428571429,98.4251968503937,0
206,BB Samantray,125,5,113,25,110.619469026549,0
207,B Lee,124,10,96,12.4,129.166666666667,24
208,MM Sharma,123,14,117,8.78571428571429,105.128205128205,91
209,AB McDonald,123,5,99,24.6,124.242424242424,11
210,UT Yadav,122,12,124,10.1666666666667,98.3870967741936,116
211,Niraj Patel,121,5,118,24.2,102.542372881356,0
212,DL Vettori,121,7,109,17.2857142857143,111.009174311927,25
213,AC Blizzard,120,7,89,17.1428571428571,134.831460674157,0
214,RJ Harris,117,12,111,9.75,105.405405405405,44
215,Misbah-ul-Haq,117,9,81,13,144.444444444444,0
216,Z Khan,117,15,138,7.8,84.7826086956522,101
217,D Short,116,7,99,16.5714285714286,117.171717171717,1
218,KK Cooper,116,9,68,12.8888888888889,170.588235294118,33
219,TG Southee,115,6,90,19.1666666666667,127.777777777778,28
220,R Tewatia,115,7,89,16.4285714285714,129.213483146067,14
221,M Kartik,113,7,108,16.1428571428571,104.62962962963,31
222,DJ Harris,111,3,101,37,109.90099009901,0
223,HV Patel,107,8,68,13.375,157.352941176471,41
224,JDP Oram,106,8,108,13.25,98.1481481481482,9
225,LJ Wright,106,4,60,26.5,176.666666666667,2
226,Rashid Khan,105,12,63,8.75,166.666666666667,55
227,RJ Quiney,103,7,102,14.7142857142857,100.980392156863,0
228,DS Kulkarni,101,9,106,11.2222222222222,95.2830188679245,85
229,MS Gony,99,9,70,11,141.428571428571,37
230,SD Chitnis,99,7,89,14.1428571428571,111.23595505618,2
231,MJ Clarke,98,5,94,19.6,104.255319148936,2
232,CJ Ferguson,98,6,116,16.3333333333333,84.4827586206896,0
233,MA Starc,96,6,98,16,97.9591836734694,33
234,S Curran,95,4,55,23.75,172.727272727273,10
235,AJ Tye,92,7,70,13.1428571428571,131.428571428571,37
236,PR Shah,92,8,91,11.5,101.098901098901,0
237,DJ Jacobs,92,7,97,13.1428571428571,94.8453608247423,0
238,S Rana,91,5,81,18.2,112.345679012346,0
239,RT Ponting,91,8,127,11.375,71.6535433070866,0
240,AD Nath,90,10,98,9,91.8367346938776,0
241,S Hetmyer,90,5,73,18,123.287671232877,0
242,MJ McClenaghan,88,11,70,8,125.714285714286,71
243,Iqbal Abdulla,88,1,83,88,106.024096385542,38
244,SL Malinga,88,12,99,7.33333333333333,88.8888888888889,170
245,AP Majumdar,87,4,76,21.75,114.473684210526,0
246,J Archer,84,7,61,12,137.704918032787,25
247,RE Levi,83,6,73,13.8333333333333,113.698630136986,0
248,LA Carseldine,81,3,68,27,119.117647058824,1
249,WPUJC Vaas,81,7,73,11.5714285714286,110.958904109589,18
250,Shahid Afridi,81,8,46,10.125,176.086956521739,9
251,AD Mascarenhas,79,10,78,7.9,101.282051282051,19
252,PJ Cummins,77,6,55,12.8333333333333,140,17
253,S Rutherford,77,5,53,15.4,145.283018867925,1
